date,symbol,marketcapname,sector
13-11-2023,SBILIFE,Largecap,Services
13-11-2023,ICICIGI,Largecap,Services
15-11-2023,LICHSGFIN,Largecap,Finance
15-11-2023,GLAXO,Largecap,Pharmaceuticals
15-11-2023,TATASTLLP,Smallcap,Metals
15-11-2023,ICICIGI,Largecap,Services
15-11-2023,MANAPPURAM,Midcap,Finance
15-11-2023,HCLTECH,Largecap,I.T
16-11-2023,UNICHEMLAB,Smallcap,Pharmaceuticals
16-11-2023,KNRCON,Midcap,Realty
16-11-2023,LTIM,Largecap,I.T
17-11-2023,GRPLTD,Smallcap,FMCG
17-11-2023,KNRCON,Midcap,Realty
20-11-2023,INDHOTEL,Largecap,Services
20-11-2023,KNRCON,Midcap,Realty
23-11-2023,TEAMLEASE,Smallcap,Miscellaneous
24-11-2023,MANYAVAR,Largecap,FMCG
